indviduo,origen,peso,tamaño
cam01,Alemania,18,26
cam02,Alemania,38,62
cam03,Alemania,39,59.5
cam04,Alemania,28,41
cam05,Alemania,7,13.5
cam06,Alemania,29,46.5
cam07,Alemania,19,25.5
cam08,Alemania,25,40.5
cam09,Alemania,40,59
cam10,Alemania,16,19
tur01,Inglaterra,26,39
tur02,Inglaterra,17,21.5
tur03,Inglaterra,32,49
tur04,Inglaterra,21,31.5
tur05,Inglaterra,21,27.5
pet01,Inglaterra,6,11
pet02,Italia,8,12
pet03,Italia,28,40
pet04,Italia,10,15
pet05,Italia,19,28.5
pet06,Italia,13,17.5
pet07,Italia,16,29
pet08,Italia,15,20.5
pet09,Italia,36,54
pet10,Francia,39,53.5
tur06,Francia,33,49.5
tur07,Francia,31,43.5
tur08,Francia,9,15.5
tur09,Francia,10,17
tur10,Francia,5,11.5
tur11,Francia,20,26
tur12,Francia,27,43.5
